Resource,Language,Field,Designation,Size
Data Science For Business,General,Other,Books,3938
Data Science Essentials (edx),General,Other,Classes,3938
Coding the Matrix: Linear Algebra through Computer Science Applications,General,Other,Classes,3938
Probabilistic Graphical Models,General,Other,Classes,3938
SQL,General,Other,Classes,3938
Jupyter Notebook,General,Other,Tools,3938
igraph,General,Other,Tools,3938
Anaconda Distribution,General,Other,Tools,3938
opencv,General,Other,Tools,3938
Neo4j,General,Other,Tools,3938
Trifacta,General,Other,Tools,3938
Narrative Science,General,Other,Tools,3938
Learning Spark,General,Big Data,Books,3938
Advanced Analytics with Spark,General,Big Data,Books,3938
Big Data Specialization (Coursera),General,Big Data,Classes,3938
Apache Spark,General,Big Data,Tools,3938
Apache Flink,General,Big Data,Tools,3938
Apace Impala,General,Big Data,Tools,3938
Apache Storm,General,Big Data,Tools,3938
Hadoop,General,Big Data,Tools,3938
Apache Flink,General,Big Data,Tools,3938
Web Scraping With Python,General,Data Mining,Books,3938
Data Mining Specialization (Coursera),General,Data Mining,Classes,3938
Selenium,General,Data Mining,Tools,3938
Data Visualization with Python and JavaScript (O'Reilly),General,Data Visualization,Books,3938
Data Visualization (Coursera),General,Data Visualization,Classes,3938
Plotly,General,Data Visualization,Tools,3938
Statistics In A Nutshell,General,Statistics,Books,3938
Computational Probability And Inference (edx),General,Statistics,Classes,3938
Inferential Statistics (Coursera),General,Statistics,Classes,3938
Stan,General,Statistics,Tools,3938
"Deep Learning (Bengio, Goodfellow, Courville)",General,Machine Learning,Books,3938
Pattern Recognition And Machine Learning,General,Machine Learning,Books,3938
Apache Mahout,General,Machine Learning,Books,3938
Machine Learning (Coursera/Andrew Ng),General,Machine Learning,Classes,3938
H20.ai,General,Machine Learning,Tools,3938
cortical.io,General,Machine Learning,Tools,3938
DatumBox,General,Machine Learning,Tools,3938
xgboost,General,Machine Learning,Tools,3938
RapidMiner,General,Machine Learning,Tools,3938
DataRobot,General,Machine Learning,Tools,3938
mxnet,General,Machine Learning,Tools,3938
Shogun,General,Machine Learning,Tools,3938
BigML,General,Machine Learning,Tools,3938
Google Cloud Prediction API,General,Machine Learning,Tools,3938
Creating Mobile Apps Without Coding,General,Web Apps,Books,3938
Learn How To Build a Web Application Without Coding (Udemy),General,Web Apps,Classes,3938
Bubble,General,Web Apps,Tools,3938
Think Python,Python,Other,Books,3938
Data Wrangling With Python,Python,Other,Books,3938
Python for Data Analysis,Python,Other,Books,3938
Introduction to Computer Science and Programming Using Python (edx),Python,Other,Classes,3938
Anaconda Distribution,Python,Other,Tools,3938
pandas,Python,Other,Tools,3938
Dora,Python,Other,Tools,3938
PyDy,Python,Other,Tools,3938
numpy,Python,Other,Tools,3938
sympy,Python,Other,Tools,3938
scikit-image,Python,Other,Tools,3938
PuLP,Python,Other,Tools,3938
Learning Spark,Python,Big Data,Books,3938
Data Science and Engineering with Apache Spark (edx),Python,Big Data,Classes,3938
sparklingpandas,Python,Big Data,Tools,3938
Blaze,Python,Big Data,Tools,3938
PyCascading,Python,Big Data,Tools,3938
Petrel,Python,Big Data,Tools,3938
mrjob,Python,Big Data,Tools,3938
Mining The Social Web,Python,Data Mining,Books,3938
Web Scraping With Python,Python,Data Mining,Books,3938
Introduction to Computer Science and Programming Using Python (edx),Python,Data Mining,Classes,3938
BeautifulSoup,Python,Data Mining,Tools,3938
Data Visualization With Python and JavaScript,Python,Data Visualization,Books,3938
Data Visualization Basics with Python (O'Reilly),Python,Data Visualization,Classes,3938
matplotlib,Python,Data Visualization,Tools,3938
bokeh,Python,Data Visualization,Tools,3938
seaborn,Python,Data Visualization,Tools,3938
folium,Python,Data Visualization,Tools,3938
ggplot,Python,Data Visualization,Tools,3938
